,title,price,year,link,model,age
41,2020 tiffin 19tm rv class c motorhome,42850,2020.0,https://catskills.craigslist.org/rvd/d/catskill-2020-tiffin-19tm-rv-class/7820936778.html,tiffin,5.0
42,2020 tiffin 19tm rv class c motorhome,42850,2020.0,https://reading.craigslist.org/rvd/d/reading-2020-tiffin-19tm-rv-class/7820936498.html,tiffin,5.0
43,2020 tiffin 19tm rv class c motorhome,42850,2020.0,https://mansfield.craigslist.org/rvd/d/mansfield-2020-tiffin-19tm-rv-class/7820933864.html,tiffin,5.0
44,2020 tiffin 19tm rv class c motorhome,42850,2020.0,https://athensohio.craigslist.org/rvd/d/athens-2020-tiffin-19tm-rv-class/7820933718.html,tiffin,5.0
45,2019 28a 30ft class c motorhome,29850,2019.0,https://greensboro.craigslist.org/rvd/d/browns-summit-30ft-class-motorhome/7820930861.html,missing,6.0
46,2019 28a 30ft class c motorhome,29850,2019.0,https://myrtlebeach.craigslist.org/rvd/d/myrtle-beach-30ft-class-motorhome/7820930221.html,missing,6.0
47,"10% sale!!! poly patio furniture, good colors & selection! 20 yr warr!",0,,https://fayetteville.craigslist.org/rvd/d/sanford-10-sale-poly-patio-furniture/7820915530.html,missing,
48,2021 jayco whitehawk 32bh,32500,2021.0,https://hickory.craigslist.org/rvs/d/rhodhiss-2021-jayco-whitehawk-32bh/7820915305.html,jayco,4.0
49,new  2022 forest river surveyor  240bh,25942,2022.0,https://syracuse.craigslist.org/rvd/d/cicero-new-2022-forest-river-surveyor/7820915107.html,missing,3.0
50,"10% sale!!! poly patio furniture, good colors & selection! 20 yr warr!",0,,https://raleigh.craigslist.org/rvd/d/sanford-10-sale-poly-patio-furniture/7820914748.html,missing,
51,2021 starcraft autumn ridge,22000,2021.0,https://harrisburg.craigslist.org/rvs/d/newville-2021-starcraft-autumn-ridge/7820912727.html,missing,4.0
52,"2025 sunlite ltd 13bd by sunset park rv 2380 pounds bath, solar,a/c+",14495,2025.0,https://syracuse.craigslist.org/rvd/d/blodgett-mills-2025-sunlite-ltd-13bd-by/7820910599.html,missing,0.0
53,2021 jayco seneca prestige 37k,199850,2021.0,https://syracuse.craigslist.org/rvd/d/cicero-2021-jayco-seneca-prestige-37k/7820908782.html,jayco,4.0
54,2022 montana high country 337fl,63500,2022.0,https://asheville.craigslist.org/rvs/d/forest-city-2022-montana-high-country/7820906092.html,missing,3.0
55,2020 thor outlaw 38mb,105900,2020.0,https://syracuse.craigslist.org/rvd/d/cicero-2020-thor-outlaw-38mb/7820905445.html,thor,5.0
56,2023 keystone cougar 27' bunkhouse,30000,2023.0,https://delaware.craigslist.org/rvs/d/harbeson-2023-keystone-cougar-27/7820904988.html,keystone,2.0
57,sunset r.v. inc #3305 2018 cougar,19900,2018.0,https://wilmington.craigslist.org/rvd/d/sunset-beach-sunset-rv-inc-cougar/7820903277.html,missing,7.0
58,"2025 sunset park sunlite 13mj 2 beds, dry bath, heat, ac, solar, kitch",14495,2025.0,https://ithaca.craigslist.org/rvd/d/blodgett-mills-2025-sunset-park-sunlite/7820896306.html,missing,0.0
59,spacious and elegant thor 2018 vegas motor coach,38880,2018.0,https://charlotte.craigslist.org/rvd/d/charlotte-spacious-and-elegant-thor/7820894441.html,thor,7.0
60,"rvs, campers & motorhomes by the day",0,,https://greensboro.craigslist.org/rvd/d/greensboro-rvs-campers-motorhomes-by/7820892962.html,missing,
61,34 ft custom camper trailer,6700,,https://asheville.craigslist.org/rvs/d/westminster-34-ft-custom-camper-trailer/7820891613.html,missing,
62,retro vintage 1984 holiday rambler aluma lite xl 31 ft time capsule,9800,1984.0,https://mansfield.craigslist.org/rvs/d/mansfield-retro-vintage-1984-holiday/7820860457.html,missing,41.0
63,vintage retro 1984 holiday rambler aluma lite xl time capsule,9800,1984.0,https://pittsburgh.craigslist.org/rvs/d/mansfield-vintage-retro-1984-holiday/7820860401.html,missing,41.0
64,retro vintage 1984 holiday rambler  31 ft camper time capsule,9800,1984.0,https://fortwayne.craigslist.org/rvs/d/mansfield-retro-vintage-1984-holiday/7820860355.html,missing,41.0
65,fs 2006 wildcat fifth wheel 27rlwb,9000,2006.0,https://harrisonburg.craigslist.org/rvs/d/churchville-fs-2006-wildcat-fifth-wheel/7820841298.html,missing,19.0
66,mercedes metris camper,41900,,https://harrisburg.craigslist.org/rvs/d/mechanicsburg-mercedes-metris-camper/7820819335.html,missing,
67,2017 ford thor motor coach 31lf motorhome *23k miles*,58500,2017.0,https://binghamton.craigslist.org/rvd/d/binghamton-2017-ford-thor-motor-coach/7820779672.html,thor,8.0
68,2015 forest river travel trailer rv,12000,2015.0,https://philadelphia.craigslist.org/rvs/d/cheltenham-2015-forest-river-travel/7820775272.html,missing,10.0
69,2008 gulf stream endura 6341 microwave/convection oven,44399,2008.0,https://charlotte.craigslist.org/rvd/d/charlotte-2008-gulf-stream-endura-6341/7820773899.html,missing,17.0
70,open range light travel trailer,30000,,https://wilmington.craigslist.org/rvs/d/leland-open-range-light-travel-trailer/7820769113.html,missing,
71,braxton creek free solo - din model,9999,,https://raleigh.craigslist.org/rvs/d/carrboro-braxton-creek-free-solo-din/7820768578.html,missing,
72,2002 fleetwood flair 30h,15000,2002.0,https://winstonsalem.craigslist.org/rvs/d/mocksville-2002-fleetwood-flair-30h/7820756317.html,missing,23.0
73,2013 bullet ultra m-31bhpr,9900,2013.0,https://rochester.craigslist.org/rvd/d/honeoye-2013-bullet-ultra-31bhpr/7820752173.html,missing,12.0
74,2020 grand design momentum 320,60000,2020.0,https://buffalo.craigslist.org/rvs/d/depew-2020-grand-design-momentum-320/7820741428.html,missing,5.0
75,425 hp diesel pusher 42’,112500,,https://fayetteville.craigslist.org/rvs/d/southern-pines-425-hp-diesel-pusher-42/7820736116.html,missing,
76,keystone sprinter 330kbs,39000,,https://charlotte.craigslist.org/rvs/d/charlotte-keystone-sprinter-330kbs/7820734490.html,keystone,
77,2000 four winds  5000,11000,2000.0,https://roanoke.craigslist.org/rvs/d/roanoke-2000-four-winds-5000/7820682955.html,missing,25.0
78,***1987 avion 34w- sale pending***,13000,1987.0,https://asheville.craigslist.org/rvs/d/ridgecrest-1987-avion-34w-sale-pending/7820664857.html,missing,38.0
79,2020 wafy  series rv,110000,2020.0,https://wilmington.craigslist.org/rvs/d/oak-island-2020-wafy-series-rv/7820657813.html,missing,5.0
80,2024 forest river aurora 26fkds,31995,2024.0,https://charlotte.craigslist.org/rvd/d/mooresville-2024-forest-river-aurora/7820656010.html,missing,1.0
81,2018 casita liberty deluxe,24500,2018.0,https://newyork.craigslist.org/stn/rvs/d/staten-island-2018-casita-liberty-deluxe/7820653591.html,missing,7.0
82,2020 winnebago minnie winnie 328qr,34850,2020.0,https://newhaven.craigslist.org/rvd/d/naugatuck-2020-winnebago-minnie-winnie/7820652977.html,winnebago,5.0
83,"2022 coachmen freelander 22xg. only 2,600 miles!!",54995,2022.0,https://cleveland.craigslist.org/rvd/d/north-ridgeville-2022-coachmen/7820652967.html,coachmen,3.0
84,2019 thor majestic 23a,38850,2019.0,https://newhaven.craigslist.org/rvd/d/naugatuck-2019-thor-majestic-23a/7820652878.html,thor,6.0
85,2013 coachmen apex 16rbx.,3495,2013.0,https://cleveland.craigslist.org/rvd/d/north-ridgeville-2013-coachmen-apex/7820652877.html,coachmen,12.0
86,2009 jay feather exp 23b with slide out,4495,2009.0,https://cleveland.craigslist.org/rvd/d/north-ridgeville-2009-jay-feather-exp/7820652729.html,missing,16.0
87,2019 thor majestic 19g,39850,2019.0,https://newhaven.craigslist.org/rvd/d/naugatuck-2019-thor-majestic-19g/7820652722.html,thor,6.0
88,2017 forrest river wildwood 261 bhxl x-lite,7995,2017.0,https://cleveland.craigslist.org/rvd/d/north-ridgeville-2017-forrest-river/7820652596.html,missing,8.0
89,2019 thor majestic 23a,38850,2019.0,https://newjersey.craigslist.org/rvd/d/newark-2019-thor-majestic-23a/7820652508.html,thor,6.0
90,2022 jayco jay flight slx 7 174bh,15995,2022.0,https://charlotte.craigslist.org/rvd/d/mooresville-2022-jayco-jay-flight-slx/7820652458.html,jayco,3.0
91,2018 springdale summerland m2450,9995,2018.0,https://cleveland.craigslist.org/rvd/d/north-ridgeville-2018-springdale/7820652454.html,missing,7.0
92,2022 rockwood a213hwor camper,9995,2022.0,https://cleveland.craigslist.org/rvd/d/north-ridgeville-2022-rockwood-a213hwor/7820652288.html,rockwood,3.0
93,2019 thor majestic 23a,38850,2019.0,https://scranton.craigslist.org/rvd/d/scranton-2019-thor-majestic-23a/7820651741.html,thor,6.0
94,2020 winnebago minnie winnie 328 qr,34850,2020.0,https://scranton.craigslist.org/rvd/d/scranton-2020-winnebago-minnie-winnie/7820651608.html,winnebago,5.0
95,2019 thor majestic 19g,39850,2019.0,https://scranton.craigslist.org/rvd/d/scranton-2019-thor-majestic-19g/7820651439.html,thor,6.0
96,2020 winnebago minnie winnie 328 qr,34850,2020.0,https://newyork.craigslist.org/brk/rvd/d/new-york-2020-winnebago-minnie-winnie/7820651280.html,winnebago,5.0
97,2019 thor majestic 19g,39850,2019.0,https://newyork.craigslist.org/brk/rvd/d/new-york-2019-thor-majestic-19g/7820650690.html,thor,6.0
98,2019 thor majestic 23a,38850,2019.0,https://newyork.craigslist.org/brk/rvd/d/new-york-2019-thor-majestic-23a/7820650561.html,thor,6.0
99,2019 thor majestic 23a,38850,2019.0,https://hudsonvalley.craigslist.org/rvd/d/newburgh-2019-thor-majestic-23a/7820650373.html,thor,6.0
100,2019 thor majestic 19g,39850,2019.0,https://hudsonvalley.craigslist.org/rvd/d/newburgh-2019-thor-majestic-19g/7820650214.html,thor,6.0
